pnode,Time,intercept,Load,Temp_x,Hum,Prec,Wind,forecast_rt_lmp,forecast_datetime_beginning_ept,forecast_load_mw,Temp_y,Humidity,Precipitation,Wind Speed,Preciptation,Wind_Speed
DUQ,0:00,-80.4,0.0588,-0.078,0.41700000000000004,-17.6,0.932,36.22716470588235,,1489,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,1:00,-83.3,0.0588,-0.078,0.41700000000000004,-17.6,0.932,29.21116470588236,11/14/2018 0:00,1419,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,2:00,-82.7,0.0588,-0.078,0.41700000000000004,-17.6,0.932,28.10596470588235,11/14/2018 1:00,1390,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,3:00,-82.4,0.0588,-0.078,0.41700000000000004,-17.6,0.932,27.75916470588235,11/14/2018 2:00,1379,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,4:00,-82.8,0.0588,-0.078,0.41700000000000004,-17.6,0.932,27.71196470588236,11/14/2018 3:00,1385,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,5:00,-83.2,0.0588,-0.078,0.41700000000000004,-17.6,0.932,28.899564705882348,11/14/2018 4:00,1412,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,6:00,-81.0,0.0588,-0.078,0.41700000000000004,-17.6,0.932,35.68596470588235,11/14/2018 5:00,1490,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,7:00,-86.4,0.0588,-0.078,0.41700000000000004,-17.6,0.932,37.63596470588235,11/14/2018 6:00,1615,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,8:00,-89.4,0.0588,-0.078,0.41700000000000004,-17.6,0.932,38.928364705882345,11/14/2018 7:00,1688,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,9:00,-85.5,0.0588,-0.078,0.41700000000000004,-17.6,0.932,43.88676470588236,11/14/2018 8:00,1706,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,10:00,-91.6,0.0588,-0.078,0.41700000000000004,-17.6,0.932,39.90356470588236,11/14/2018 9:00,1742,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,11:00,-91.8,0.0588,-0.078,0.41700000000000004,-17.6,0.932,36.93996470588235,11/14/2018 10:00,1695,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,12:00,-90.0,0.0588,-0.078,0.41700000000000004,-17.6,0.932,41.15076470588235,11/14/2018 11:00,1736,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,13:00,-89.8,0.0588,-0.078,0.41700000000000004,-17.6,0.932,40.645164705882365,11/14/2018 12:00,1724,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,14:00,-93.2,0.0588,-0.078,0.41700000000000004,-17.6,0.932,35.89276470588235,11/14/2018 13:00,1701,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,15:00,-92.9,0.0588,-0.078,0.41700000000000004,-17.6,0.932,35.31076470588234,11/14/2018 14:00,1686,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,16:00,-84.8,0.0588,-0.078,0.41700000000000004,-17.6,0.932,43.704764705882354,11/14/2018 15:00,1691,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,17:00,-70.7,0.0588,-0.078,0.41700000000000004,-17.6,0.932,57.98116470588235,11/14/2018 16:00,1694,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,18:00,-88.4,0.0588,-0.078,0.41700000000000004,-17.6,0.932,44.57356470588235,11/14/2018 17:00,1767,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,19:00,-85.9,0.0588,-0.078,0.41700000000000004,-17.6,0.932,46.54436470588236,11/14/2018 18:00,1758,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,20:00,-83.6,0.0588,-0.078,0.41700000000000004,-17.6,0.932,47.49196470588237,11/14/2018 19:00,1735,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,21:00,-88.1,0.0588,-0.078,0.41700000000000004,-17.6,0.932,40.46356470588236,11/14/2018 20:00,1692,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
DUQ,22:00,-88.6,0.0588,-0.078,0.41700000000000004,-17.6,0.932,37.19996470588236,11/14/2018 21:00,1645,35.366666666666674,60.745098039215684,0.04372549019607843,7.801960784313727,0.04372549019607843,7.801960784313727
